,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
23,3.2142083342410736e-19,3.1730121429148854e-17,6.383146128563258e-10,3.0822012361726193e-09,1900603551
24,3.2142083364237083e-19,3.173012145069545e-17,6.383146132897786e-10,3.082201238265613e-09,1020385156
25,3.214208338848857e-19,3.173012147463612e-17,6.383146137713927e-10,3.0822012405911613e-09,1493326726
26,3.2142083407889763e-19,3.173012149378864e-17,6.38314614156684e-10,3.0822012424516e-09,915104589
27,3.21420834297161e-19,3.173012151533524e-17,6.383146145901367e-10,3.082201244544594e-09,2069725436
28,3.214208346609334e-19,3.173012155124623e-17,6.383146153125579e-10,3.082201248032917e-09,1699217358
29,3.2142083495195134e-19,3.173012157997503e-17,6.383146158904948e-10,3.0822012508235753e-09,1719646951
30,3.412266968012734e-19,8.095051646901453e-17,6.340705037575901e-10,3.0822012557072273e-09,4357412527
31,3.5311021408486255e-19,1.1048275352232139e-16,6.315240367286963e-10,3.082201259893215e-09,668981451
32,3.5311021424471743e-19,1.1048275357233755e-16,6.315240370145907e-10,3.082201261288544e-09,908171878
33,3.531102144844998e-19,1.1048275364736181e-16,6.315240374434324e-10,3.082201263381538e-09,1574765074
34,3.5311021472428217e-19,1.1048275372238596e-16,6.315240378722737e-10,3.0822012654745313e-09,790868558
35,3.5311021496406454e-19,1.1048275379741018e-16,6.315240383011154e-10,3.082201267567525e-09,550277880
36,3.5311021507063443e-19,1.1048275383075427e-16,6.315240384917114e-10,3.082201268497745e-09,1202054044
37,3.531102152837743e-19,1.1048275389744245e-16,6.31524038872904e-10,3.0822012703581837e-09,412070719
38,3.5311021544362923e-19,1.1048275394745861e-16,6.315240391587984e-10,3.082201271753512e-09,511125921
39,3.5311021552355668e-19,1.1048275397246667e-16,6.315240393017454e-10,3.082201272451177e-09,864530880
40,3.53110215763339e-19,1.1048275404749087e-16,6.315240397305871e-10,3.082201274544171e-09,796091998
41,3.414692200146935e-19,1.107116937596503e-16,6.373445384933341e-10,3.083015042543841e-09,3503282155
42,3.395290543871284e-19,1.1074985048702277e-16,6.383146222478012e-10,3.083150673568105e-09,815358141
43,3.3952905469454164e-19,1.1074985058729688e-16,6.383146228257384e-10,3.083150676359623e-09,2481170763
44,3.395290549251016e-19,1.1074985066250247e-16,6.38314623259191e-10,3.083150678453261e-09,820617449
45,3.3952905520689712e-19,1.107498507544204e-16,6.383146237889665e-10,3.083150681012153e-09,1320460907
46,3.395290555552989e-19,1.1074985086806439e-16,6.383146244439617e-10,3.083150684175873e-09,2632274891
47,3.3952905605228364e-19,1.0893450234381468e-16,6.349193348177703e-10,3.0831506886888273e-09,3097646249
48,3.3952905667351464e-19,1.0711915385344939e-16,6.315240454127372e-10,3.0831506943300205e-09,4499598537
49,3.3952905726912788e-19,1.0711915404136137e-16,6.315240465205777e-10,3.083150699738586e-09,2516069424
50,3.395290574612612e-19,1.0711915410197816e-16,6.315240468779457e-10,3.0831507014832852e-09,547976316
51,3.395290579906951e-19,1.0711915426901104e-16,6.315240478626928e-10,3.0831507062908987e-09,4828808182
52,2.2635270575295443e-19,3.411135275697023e-17,6.383146302233314e-10,3.083150712091053e-09,3070727283
53,2.2635270603304213e-19,3.411135279917944e-17,6.383146310131787e-10,3.083150715906128e-09,1575893468
54,2.2635270615259173e-19,3.411135281719557e-17,6.383146313503085e-10,3.083150717534513e-09,846810201
55,2.263527063062984e-19,3.411135284035916e-17,6.383146317837612e-10,3.083150719628152e-09,1009480018
56,2.263527066009028e-19,3.4111352884756045e-17,6.383146326145456e-10,3.083150723640959e-09,4183202026
57,3.062418981618736e-19,8.466203738201506e-17,6.33521283240954e-10,3.083150733667845e-09,9357669759
58,3.395290618419005e-19,1.0572482280340991e-16,6.31524055025935e-10,3.083150741262417e-09,579472919
59,3.401326697763929e-19,1.0617994287079948e-16,6.328821726007951e-10,3.083150747729433e-09,8076379130
60,3.440561175313939e-19,1.0913822212430055e-16,6.383146391042964e-10,3.0831507549873803e-09,1612552877
61,3.4405611771310925e-19,1.091382221819426e-16,6.383146394414264e-10,3.083150756615766e-09,942477342
62,3.4405611794674337e-19,1.091382222560538e-16,6.38314639874879e-10,3.0831507587094052e-09,832668107
63,3.4405611810249944e-19,1.0913822230546128e-16,6.383146401638477e-10,3.083150760105164e-09,480040684
64,3.4405611810249944e-19,1.0913822230546128e-16,6.383146401638477e-10,3.083150760105164e-09,694961286
65,3.4405611836209294e-19,1.0913822238780704e-16,6.383146406454618e-10,3.083150762431429e-09,1470097261
66,3.4405611867360513e-19,1.0913822248662199e-16,6.383146412233987e-10,3.0831507652229476e-09,1516873217
67,3.4405611899809693e-19,1.091382225895542e-16,6.383146418254164e-10,3.083150768130779e-09,2374853333
68,3.45866941060645e-19,1.087434635841563e-16,6.369565262726801e-10,3.0831507715503883e-09,2421023706
69,3.5311022815209445e-19,1.0716442718995357e-16,6.315240618873995e-10,3.083150774760634e-09,1178629291
70,3.531102285250893e-19,1.0716442730315272e-16,6.315240625544863e-10,3.083150778017405e-09,2757265574
71,3.531102289247265e-19,1.0716442742443752e-16,6.315240632692223e-10,3.0831507815068023e-09,1635131529
72,3.5311022919115137e-19,1.0716442750529405e-16,6.315240637457131e-10,3.0831507838330683e-09,1124117322
73,3.5311022945757624e-19,1.0716442758615058e-16,6.315240642222035e-10,3.083150786159333e-09,1057630320
74,3.5311022967071616e-19,1.0716442765083579e-16,6.315240646033962e-10,3.083150788020345e-09,882061044
75,3.5311023020356594e-19,1.0945360823656086e-16,6.292605384396881e-10,3.0831507926728762e-09,5078176268
76,3.5311023078970057e-19,1.140319692738688e-16,6.247334852433162e-10,3.083150797790659e-09,1894405991
77,3.5311023110941043e-19,1.1403196937711458e-16,6.247334858089568e-10,3.083150800582177e-09,960502414
78,3.5311023134919275e-19,1.1403196945454892e-16,6.247334862331871e-10,3.083150802675816e-09,1019615782
79,3.5311023164226007e-19,1.1403196954919088e-16,6.247334867516908e-10,3.0831508052347073e-09,1216412330
80,3.531102318287575e-19,1.140319696094176e-16,6.247334870816479e-10,3.083150806863093e-09,769472956
81,3.531102320685399e-19,1.1403196968685194e-16,6.247334875058781e-10,3.0831508089567322e-09,882151252
82,3.531102322283948e-19,1.1403196973847483e-16,6.247334877886985e-10,3.0831508103524903e-09,1076014403
83,3.5311023254810466e-19,1.140319698417206e-16,6.24733488354339e-10,3.083150813144009e-09,2010840653
84,1.584468994115828e-19,3.398912345091896e-17,6.383146519152335e-10,3.083150816866034e-09,3002696318
85,1.5844689961481712e-19,3.398912349451562e-17,6.383146527339775e-10,3.083150820820684e-09,991266182
86,1.584468996985018e-19,3.3989123512467186e-17,6.383146530711075e-10,3.0831508224490704e-09,1159877185
87,1.5844689979414152e-19,3.398912353298328e-17,6.383146534563988e-10,3.083150824310082e-09,694591390
88,1.5844689993760108e-19,3.39891235637574e-17,6.383146540343357e-10,3.0831508271016003e-09,2128601224
89,1.5844690004519573e-19,3.3989123586837985e-17,6.383146544677885e-10,3.0831508291952387e-09,1164642110
90,1.5844690015279033e-19,3.3989123609918576e-17,6.383146549012411e-10,3.083150831288877e-09,1280157076
91,1.5844690027233998e-19,3.398912363556368e-17,6.383146553828555e-10,3.0831508336151422e-09,1225124154
92,9.506814024230676e-20,7.532112939769047e-17,6.383146559126311e-10,3.083150836174034e-09,707498413
93,3.1689380108026243e-20,1.1665313523194572e-16,6.383146564616714e-10,3.0831508388259764e-09,2976663065
94,3.168938019463993e-20,1.1665313555078311e-16,6.383146582063185e-10,3.0831508472528723e-09,8801241219
95,2.693597327671475e-19,1.0808002689102643e-16,6.327973133757621e-10,3.083150859989175e-09,8872012171
96,3.4858318451798463e-19,1.0522232412664307e-16,6.315240810423226e-10,3.0831508682764943e-09,2111334000
97,3.4858318475469293e-19,1.0522232419809513e-16,6.315240814711644e-10,3.0831508703701327e-09,567432460
98,3.4858318504400294e-19,1.0522232428542547e-16,6.315240819953041e-10,3.083150872929025e-09,3423075772
99,3.4858318631122883e-19,1.0407409906014463e-16,6.253508283351974e-10,3.083150884137393e-09,11807803053
100,3.485831874373864e-19,1.039592768352226e-16,6.247335047579134e-10,3.0831508940980394e-09,1249188825
101,3.4858318767409467e-19,1.03959276905817e-16,6.247335051821436e-10,3.0831508961916773e-09,624621948
102,3.470741697289448e-19,1.0756432127151701e-16,6.26997032705985e-10,3.083150897820064e-09,1237828870
103,3.440561340090887e-19,1.1477441007279508e-16,6.31524088082472e-10,3.083150902647064e-09,4501205350
104,3.4405613481087853e-19,1.1477441034026587e-16,6.315240895541783e-10,3.083150909832052e-09,5508954572
