,0,1,2,3,4,5,6,7,8,9,10
38,3.531102154436292e-19,1.104827539474586e-16,2.5804208051649826e-17,6.315240391587984e-10,3.0822012717535125e-09,1.810821617659637e-19,-1.0,4.345971882383129e-17,4.527054044149093e-19,4.478893894743251e-19,4.527054044149093e-19
39,3.5311021552355668e-19,1.1048275397246667e-16,2.5804208057490678e-17,6.315240393017455e-10,3.0822012724511773e-09,1.8108216180695213e-19,-1.0,4.36860715359272e-17,6.790581067760705e-19,4.47889389575706e-19,4.527054045173803e-19
40,3.53110215763339e-19,1.1048275404749088e-16,2.5804208075013236e-17,6.315240397305871e-10,3.082201274544171e-09,1.8108216192991746e-19,-1.0,4.413877697041737e-17,6.790581072371904e-19,4.47889389879849e-19,4.527054048247936e-19
41,3.414692200146935e-19,1.107116937596503e-16,2.5804208103383087e-17,6.373445384933342e-10,3.083015042543841e-09,1.810821621290041e-19,-1.0,4.5399884933771754e-17,1.810821621290041e-18,4.520174031867618e-19,4.527054053225103e-19
42,3.3952905438712837e-19,1.1074985048702278e-16,2.5804208133421758e-17,6.383146222478013e-10,3.083150673568105e-09,1.8108216233980181e-19,-1.0,4.662865680249896e-17,6.790581087742567e-19,4.527054058495045e-19,4.527054058495045e-19
43,3.3952905469454164e-19,1.1074985058729689e-16,2.5804208156785167e-17,6.383146228257384e-10,3.083150676359623e-09,1.8108216250375556e-19,-1.0,4.742089130567099e-17,1.1317635156484721e-18,4.527054062593889e-19,4.527054062593889e-19
44,3.395290549251016e-19,1.1074985066250247e-16,2.5804208174307722e-17,6.38314623259191e-10,3.0831506784532614e-09,1.8108216262672089e-19,-1.0,4.821312579936443e-17,6.790581098502032e-19,4.527054065668022e-19,4.527054065668022e-19
45,3.3952905520689712e-19,1.1074985075442041e-16,2.580420819572418e-17,6.383146237889666e-10,3.083150681012153e-09,1.8108216277701184e-19,-1.0,4.904308575210736e-17,9.05410813885059e-19,4.527054069425295e-19,4.527054069425295e-19
46,3.3952905555529886e-19,1.1074985086806439e-16,2.5804208222202712e-17,6.383146244439618e-10,3.0831506841758734e-09,1.8108216296282607e-19,-1.0,4.997867697773999e-17,1.3581162222211955e-18,4.527054074070651e-19,4.527054074070651e-19
47,3.3952905605228364e-19,1.0893450234381467e-16,2.670961907611298e-17,6.349193348177704e-10,3.0831506886888273e-09,1.7881863618753609e-19,-1.0,5.153296561860216e-17,1.5844689282439903e-18,4.50297400579979e-19,4.527054080697116e-19
48,3.3952905667351464e-19,1.0711915385344939e-16,2.7615029942779192e-17,6.315240454127373e-10,3.08315069433002e-09,1.7655510947022763e-19,-1.0,5.3362650073854055e-17,2.037174340041088e-18,4.478893939097428e-19,4.527054088980195e-19
49,3.3952905726912788e-19,1.0711915404136138e-16,2.76150299912224e-17,6.315240465205778e-10,3.083150699738586e-09,1.7655510977994648e-19,-1.0,5.5116883630021753e-17,1.1317635242304262e-18,4.478893946954453e-19,4.527054096921705e-19
50,3.395290574612612e-19,1.0711915410197816e-16,2.7615030006849242e-17,6.315240468779458e-10,3.083150701483285e-09,1.765551098798558e-19,-1.0,5.568276542364684e-17,4.527054099483483e-19,4.478893949488978e-19,4.527054099483483e-19
51,3.395290579906951e-19,1.0711915426901105e-16,2.761503004990987e-17,6.315240478626929e-10,3.0831507062908987e-09,1.6951302598942854e-19,-1.0,5.7242084147172e-17,2.2635270532713007e-18,4.478893956472999e-19,4.527054106542601e-19
52,2.2635270575295443e-19,3.411135275697023e-17,2.6256913867342716e-17,6.383146302233315e-10,3.083150712091053e-09,1.1317635287647722e-19,-1.0,5.91233267426717e-17,1.3581162345177266e-18,4.527054115059089e-19,4.527054115059089e-19
